"rgn_id","sciname","CHN_class","IUCN_class","value"
7,"Larus relictus",1,"VU",0.4
7,"Fenneropenaeus penicillatus ",NA,"EN",0.6
7,"Metapenaeus joyneri",NA,"EN",0.6
7,"Tachpleus tridentatus",NA,"EN",0.6
7,"Panulirus stimposoni Holthuis",NA,"EN",0.6
7,"Hemicentrotus pulcherrimus ",NA,"EN",0.6
7,"Anthocidaris crassispina 
",NA,"EN",0.6
7,"Hydrolagus tsengi",NA,"EN",0.6
8,"Tursiops aduncus ",2,"",0.17
8,"Sousa chinensis",1,"",0.46
8,"Acipenser sinensis",1,"",0.46
8,"Pseudorca crassidens",2,"",0.17
8,"Dugong dugon 
 
",1,"",0.46
8,"Hippocampus kelloggi ",2,"",0.17
8,"Hemiprocne coronata ",2,"",0.17
8,"Lagenorhynchus obliquidens ",2,"LC",0
8,"Tursiops truncatus ",2,"",0.17
8,"Balaenoptera acutorostrata",2,"LC",0
8,"Megaptera novaeangliae ",2,"LC",0
8,"Physeter catodon Linnaeus",2,"",0.17
8,"Cephalochordata",2,"",0.17
8,"Stenella coeruleoalba ",2,"",0.17
8,"Ziphius cavirostris",2,"",0.17
8,"Dermochelys coriacea ",2,"",0.17
8,"Phalacrocorax pelagicus",2,"",0.17
8,"Stenella frontalis
",2,"",0.17
8,"Haliaeetus albicilla ",1,"",0.46
8,"Platalea leucorodia",2,"",0.17
8,"Ciconia ciconia ",1,"",0.46
8,"Delphinus delphis ",2,"LC",0
8,"Steno bredanensis ",2,"",0.17
8,"Chelonia mydas ",2,"",0.17
8,"Larus relictus",1,"VU",0.4
8,"Stenella longirostris ",2,"",0.17
8,"Pelecanus crispus",2,"VU",0.4
8,"Thalasseus bernsteini ",2,"CR",0.8
8,"Tachpleus tridentatus",NA,"EN",0.6
8,"Bellamya turritus",NA,"EN",0.6
8,"Atrina vexillum ",NA,"EN",0.6
8,"Pinna bicolor ",NA,"EN",0.6
8,"Coelomactra antiquata",NA,"EN",0.6
8,"Fenneropenaeus merguiensis",NA,"EN",0.6
8,"Fenneropenaeus penicillatus ",NA,"EN",0.6
8,"Metapenaeus joyneri",NA,"EN",0.6
8,"Panulirus japonicus 
 
",NA,"EN",0.6
8,"Panulirus stimposoni Holthuis",NA,"EN",0.6
8,"Philyra sagittifera ",NA,"EN",0.6
8,"Leucosia sinica",NA,"EN",0.6
8,"Elamera longidactylis",NA,"EN",0.6
8,"Halicarcinus longipes ",NA,"EN",0.6
8,"Holothuria leucospilota",NA,"EN",0.6
8,"Holothuria moebii ",NA,"EN",0.6
8,"Colochirus anceps ",NA,"EN",0.6
8,"Colochirus quadrangularis ",NA,"EN",0.6
8,"Hemicentrotus pulcherrimus ",NA,"EN",0.6
8,"Anthocidaris crassispina 
 
",NA,"EN",0.6
8,"Branchiostoma belcheri Gray",NA,"EN",0.6
9,"Sousa chinensis",1,"",0.46
9,"Pseudorca crassidens",2,"",0.17
9,"Lepidochelys olivacea",2,"",0.17
9,"Lagenorhynchus obliquidens ",2,"LC",0
9,"Tursiops truncatus ",2,"",0.17
9,"Balaenoptera acutorostrata",2,"LC",0
9,"Megaptera novaeangliae ",2,"LC",0
9,"Mycteria leucocephala",1,"",0.46
9,"Physeter catodon Linnaeus",2,"",0.17
9,"Dermochelys coriacea ",2,"",0.17
9,"Hirundapus cochinchinensis ",2,"",0.17
9,"Haliaeetus albicilla ",1,"",0.46
9,"Platalea leucorodia",2,"",0.17
9,"Fregata andrewsi ",1,"",0.46
9,"Ciconia ciconia ",1,"",0.46
9,"Steno bredanensis ",2,"",0.17
9,"Cypraea tigris",2,"",0.17
9,"Ichthyaetus relictus",1,"",0.46
9,"Thalasseus bernsteini ",2,"CR",0.8
9,"Tachpleus tridentatus",NA,"EN",0.6
9,"Turbinaria crater ",NA,"EN",0.6
9,"Acropora cytherea 
 
",NA,"EN",0.6
9,"Pavona decussata ",NA,"EN",0.6
9,"",NA,"EN",0.6
9,"Echinophyllia aspera ",NA,"EN",0.6
9,"Oliva oliva",NA,"EN",0.6
9,"Atrina vexillum ",NA,"EN",0.6
9,"Fenneropenaeus merguiensis",NA,"EN",0.6
9,"Fenneropenaeus penicillatus ",NA,"EN",0.6
9,"Coelomactra antiquata",NA,"EN",0.6
9,"Metapenaeus joyneri",NA,"EN",0.6
9,"Panulirus japonicus 
 
",NA,"EN",0.6
9,"Panulirus stimposoni Holthuis",NA,"EN",0.6
9,"Philyra tuberculosa ",NA,"EN",0.6
9,"Elamera longidactylis Yang & Sun",NA,"EN",0.6
9,"Elamenopsis sinensis",NA,"EN",0.6
9,"Halicarcinus unidentatus ",NA,"EN",0.6
9,"Halicarcinus setirostris ",NA,"EN",0.6
9,"Huenia proteus De Haan",NA,"EN",0.6
9,"Maja compressipes ",NA,"EN",0.6
9,"Carcinoscorpius rotundicauda",NA,"EN",0.6
9,"Actinopyga echinites ",NA,"EN",0.6
9,"Holothuria insignis",NA,"EN",0.6
9,"Holothuria leucospilota",NA,"EN",0.6
9,"Holothuria scabra ",NA,"EN",0.6
9,"Holothuria martensi ",NA,"EN",0.6
9,"Holothuria moebii ",NA,"EN",0.6
9,"Holothuria sinica Liao",NA,"EN",0.6
9,"Holothuria cinerascens ",NA,"EN",0.6
9,"Holothuria ocellata",NA,"EN",0.6
9,"Holothuria spinifera ",NA,"EN",0.6
9,"Stichopus variegatus ",NA,"EN",0.6
9,"Mensamaria intercedens ",NA,"EN",0.6
9,"Colochirus anceps ",NA,"EN",0.6
9,"Colochirus quadrangularis ",NA,"EN",0.6
9,"Anthocidaris crassispina 
 
",NA,"EN",0.6
9,"Branchiostoma belcheri Gray",NA,"EN",0.6
10,"Sousa chinensis",1,"",0.46
10,"Pseudorca crassidens",2,"",0.17
10,"Hippocampus kelloggi",2,"",0.17
10,"Lepidochelys olivacea",2,"",0.17
10,"Lagenorhynchus obliquidens ",2,"LC",0
10,"Tursiops truncatus ",2,"",0.17
10,"Balaenoptera acutorostrata",2,"LC",0
10,"Mycteria leucocephala",1,"",0.46
10,"Physeter catodon Linnaeus",2,"",0.17
10,"Hirundapus cochinchinensis ",2,"",0.17
10,"Haliaeetus albicilla ",1,"",0.46
10,"Ciconia ciconia ",1,"",0.46
10,"Steno bredanensis ",2,"",0.17
10,"Ichthyaetus relictus",1,"VU",0.4
10,"Stenella longirostris ",2,"DD",0.17
10,"Chlidonias niger",1,"",0.46
10,"Tachpleus tridentatus",NA,"EN",0.6
10,"Pavona decussata ",NA,"EN",0.6
10,"Pavona frondifera Lamarck",NA,"EN",0.6
10,"Oliva miniacea",NA,"EN",0.6
10,"Atrina vexillum ",NA,"EN",0.6
10,"Fenneropenaeus merguiensis",NA,"EN",0.6
10,"Fenneropenaeus penicillatus ",NA,"EN",0.6
10,"Metapenaeus joyneri",NA,"EN",0.6
10,"Panulirus stimposoni Holthuis",NA,"EN",0.6
10,"Nuciops modesta ",NA,"EN",0.6
10,"Myra coalita Hilgendof",NA,"EN",0.6
10,"Leucosia pulchra Shen & Chen",NA,"EN",0.6
10,"Leucosia sinica Shen & Chen",NA,"EN",0.6
10,"Tachypleus gigas",NA,"EN",0.6
10,"Carcinoscorpius rotundicauda",NA,"EN",0.6
10,"Holothuria insignis",NA,"EN",0.6
10,"Holothuria fuscocinerea ",NA,"EN",0.6
10,"Holothuria scabra ",NA,"EN",0.6
10,"Holothuria martensi ",NA,"EN",0.6
10,"Holothuria ocellata",NA,"EN",0.6
10,"Holothuria hilla ",NA,"EN",0.6
10,"Holothuria rigidus ",NA,"EN",0.6
10,"Stichopus flaccus ",NA,"EN",0.6
10,"Stichopus variegatus ",NA,"EN",0.6
10,"Mensamaria intercedens ",NA,"EN",0.6
10,"Colochirus anceps ",NA,"EN",0.6
10,"Colochirus quadrangularis ",NA,"EN",0.6
10,"Anthocidaris crassispina 
 
",NA,"EN",0.6
11,"Pseudorca crassidens",2,"",0.17
11,"Hippocampus kelloggi",2,"",0.17
11,"Cassis cornuta ",2,"",0.17
11,"Pinctada maxima ",2,"",0.17
11,"Lepidochelys olivacea",2,"",0.17
11,"Lagenorhynchus obliquidens ",2,"LC",0
11,"Tursiops truncatus ",2,"",0.17
11,"Tridacna gigas ",1,"VU",0.4
11,"Megaptera novaeangliae ",2,"LC",0
11,"Mycteria leucocephala",1,"",0.46
11,"Physeter catodon Linnaeus",2,"",0.17
11,"Dermochelys coriacea ",2,"",0.17
11,"Hirundapus cochinchinensis ",2,"",0.17
11,"Eretmochelys imbricata ",1,"CR",0.8
11,"Haliaeetus albicilla ",1,"",0.46
11,"Ciconia ciconia ",1,"",0.46
11,"Steno bredanensis ",2,"",0.17
11,"Cypraea tigris Linnaeus",2,"EN",0.6
11,"Stenella longirostris ",2,"DD",0.17
11,"Nautilidae",1,"",0.46
11,"Tachpleus tridentatus",NA,"EN",0.6
11,"Turbinaria crater ",NA,"EN",0.6
11,"Acropora cerealis ",NA,"EN",0.6
11,"Acropora cytherea 
 
",NA,"EN",0.6
11,"Acropora florida ",NA,"EN",0.6
11,"Acropora formosa ",NA,"EN",0.6
11,"Acropora hyacinthus ",NA,"EN",0.6
11,"Acropora lutkeni ",NA,"EN",0.6
11,"Acropora pulchra ",NA,"EN",0.6
11,"Acropora robusta ",NA,"EN",0.6
11,"Montipora digitata",NA,"EN",0.6
11,"Montipora foliosa",NA,"EN",0.6
11,"Montipora gaimardi ",NA,"EN",0.6
11,"Montipora stellata",NA,"EN",0.6
11,"Pavona decussata ",NA,"EN",0.6
11,"Pavona frondifera Lamarck",NA,"EN",0.6
11,"Fungia fungites ",NA,"EN",0.6
11,"Fungia paumotensis Stutchbury",NA,"EN",0.6
11,"Podabacia crustacea ",NA,"EN",0.6
11,"Merulina scabricula ",NA,"EN",0.6
11,"Scapophyllia cylindrica ",NA,"EN",0.6
11,"Acanthastrea echinata ",NA,"EN",0.6
11,"Lobophyllia corymbosa ",NA,"EN",0.6
11,"Echinophyllia aspera ",NA,"EN",0.6
11,"Pectinia lactuca",NA,"EN",0.6
11,"Pocillopora verrucosa",NA,"EN",0.6
11,"Psammocora contigua ",NA,"EN",0.6
11,"Haliotis asinina Linnaeus",NA,"EN",0.6
11,"Haliotis ovina Gmelin",NA,"EN",0.6
11,"Haliotis varia Linnaeus",NA,"EN",0.6
11,"Cypraea carneola ",NA,"EN",0.6
11,"Ovula ovum ",NA,"EN",0.6
11,"Lambis chiragra ",NA,"EN",0.6
11,"Lambis lambis ",NA,"EN",0.6
11,"Oliva mustelina concavospira Sowerby",NA,"EN",0.6
11,"Atrina vexillum ",NA,"EN",0.6
11,"Tridacna maxima ",NA,"EN",0.6
11,"Tridacna squamosa ",NA,"EN",0.6
11,"Tridacna crocea ",NA,"EN",0.6
11,"Coelomactra cumingii ",NA,"EN",0.6
11,"Fenneropenaeus merguiensis",NA,"EN",0.6
11,"Fenneropenaeus penicillatus ",NA,"EN",0.6
11,"Metapenaeus joyneri",NA,"EN",0.6
11,"Panulirus stimposoni Holthuis",NA,"EN",0.6
11,"Lauridromia indica",NA,"EN",0.6
11,"Stimdromia longipedalis ",NA,"EN",0.6
11,"Cryptodromia protuberum ",NA,"EN",0.6
11,"Heteronucia elegans Chen & Turkay",NA,"EN",0.6
11,"Heteronucia tuberculata Chen & Turkay ",NA,"EN",0.6
11,"Heteronucia xincunensis Chen & Turkay",NA,"EN",0.6
11,"Heteronucia mesanensis ",NA,"EN",0.6
11,"Arcania sagamiensis Sakai",NA,"EN",0.6
11,"Leucosia pulchra Shen & Chen",NA,"EN",0.6
11,"Leucosia sinica Shen & Chen",NA,"EN",0.6
11,"Paratymolus sexspinosus Miers",NA,"EN",0.6
11,"Libystes nitidus A.Milne Edwards",NA,"EN",0.6
11,"Portunus brockii",NA,"EN",0.6
11,"Portunus rubromarginatus ",NA,"EN",0.6
11,"Portunus tridentatus ",NA,"EN",0.6
11,"Thalamita spinimera ",NA,"EN",0.6
11,"Thalamita procorrugata ",NA,"EN",0.6
11,"Thalamita platypodis ",NA,"EN",0.6
11,"Carcinoscorpius rotundicauda",NA,"EN",0.6
11,"Actinopyga echinites ",NA,"EN",0.6
11,"Actinopyga mauritiana ",NA,"EN",0.6
11,"Actinopyga miliaris",NA,"EN",0.6
11,"Bohadschia argus ",NA,"EN",0.6
11,"Bohadschia marmorata ",NA,"EN",0.6
11,"Holothuria atra",NA,"EN",0.6
11,"Holothuria edulis ",NA,"EN",0.6
11,"Holothuria pardalis ",NA,"EN",0.6
11,"Holothuria fuscocinerea ",NA,"EN",0.6
11,"Holothuria leucospilota",NA,"EN",0.6
11,"Holothuria pervicax ",NA,"EN",0.6
11,"Holothuria scabra ",NA,"EN",0.6
11,"Holothuria albiventer ",NA,"EN",0.6
11,"Holothuria martensi ",NA,"EN",0.6
11,"Holothuria nobilis ",NA,"EN",0.6
11,"Holothuria difficilis ",NA,"EN",0.6
11,"Holothuria moebii ",NA,"EN",0.6
11,"Holothuria sinica Liao",NA,"EN",0.6
11,"Holothuria cinerascens ",NA,"EN",0.6
11,"Holothuria flavomaculata ",NA,"EN",0.6
11,"Holothuria olivacea ",NA,"EN",0.6
11,"Holothuria spinifera ",NA,"EN",0.6
11,"Holothuria hilla ",NA,"EN",0.6
11,"Holothuria impatiens ",NA,"EN",0.6
11,"Holothuria rigidus ",NA,"EN",0.6
11,"Labidodemas pertinax ",NA,"EN",0.6
11,"Stichopus chloronotus ",NA,"EN",0.6
11,"Stichopus horrens ",NA,"EN",0.6
11,"Mensamaria intercedens ",NA,"EN",0.6
11,"Colochirus anceps ",NA,"EN",0.6
11,"Colochirus quadrangularis ",NA,"EN",0.6
11,"Ohshimella ehrenbergi ",NA,"EN",0.6
11,"Cladolabes schmeltzi",NA,"EN",0.6
11,"Protoreaster nodosus",NA,"EN",0.6
11,"Culcita novaeguineae ",NA,"EN",0.6
11,"Linckia laevigata ",NA,"EN",0.6
11,"Asteropsis carinifera ",NA,"EN",0.6
11,"Stomopneustes variolaris ",NA,"EN",0.6
11,"Tripneustes gratilla ",NA,"EN",0.6
11,"Anthocidaris crassispina 
 
",NA,"EN",0.6
11,"Heterocentrotus mammillatus ",NA,"EN",0.6
11,"Eucidaris metularia ",NA,"EN",0.6
11,"Branchiostoma belcheri Gray",NA,"EN",0.6
