rgn_id,species_latin,species_common,CHN_class,IUCN_class,value
GD,Ciconia ciconia ,White Stork,1,,0.46
GD,Steno bredanensis ,Rough-toothed Dolphin,2,,0.17
GD,Cypraea tigris,Tiger Cowrie,2,,0.17
GD,Ichthyaetus relictus,Relict Gull,1,,0.46
GD,Thalasseus bernsteini ,Chinese Crested Tern,2,CR,0.8
GD,Tachpleus tridentatus,Tachpleus tridentatus,,EN,0.6
GD,Turbinaria crater ,Turbinaria crater,,EN,0.6
GD,"Acropora cytherea 
 
",Acropora cytherea,,EN,0.6
GD,Pavona decussata ,Pavona decussata,,EN,0.6
GD,,Pavona frondifera Lamarck,,EN,0.6
GD,Echinophyllia aspera ,Echinophyllia aspera,,EN,0.6
GD,Oliva oliva,Oliva oliva,,EN,0.6
GD,Atrina vexillum ,Atrina vexillum,,EN,0.6
GD,Fenneropenaeus merguiensis,Fenneropenaeus merguiensis,,EN,0.6
GD,Fenneropenaeus penicillatus ,Fenneropenaeus penicillatus,,EN,0.6
GD,Coelomactra antiquata,Coelomactra antiquata,,EN,0.6
GD,Metapenaeus joyneri,Metapenaeus joyneri,,EN,0.6
GD,"Panulirus japonicus 
 
",Panulirus japonicus,,EN,0.6
GD,Panulirus stimposoni Holthuis,Panulirus stimposoni Holthuis,,EN,0.6
GD,Philyra tuberculosa ,Philyra tuberculosa Stimpson,,EN,0.6
GD,Elamera longidactylis Yang & Sun,Elamera longidactylis Yang & Sun,,EN,0.6
GD,Elamenopsis sinensis,Elamenopsis sinensis,,EN,0.6
GD,Halicarcinus unidentatus ,Halicarcinus unidentatus Yang & Sun,,EN,0.6
GD,Halicarcinus setirostris ,Halicarcinus setirostris ,,EN,0.6
GD,Huenia proteus De Haan,Huenia proteus De Haan,,EN,0.6
GD,Maja compressipes ,Maja brevispinosis Dai,,EN,0.6
GD,Carcinoscorpius rotundicauda,Carcinoscorpius rotundicauda,,EN,0.6
GD,Actinopyga echinites ,Actinopyga echinites,,EN,0.6
GD,Holothuria insignis,,,EN,0.6
GD,Holothuria leucospilota,Holothuria leucospilota,,EN,0.6
GD,Holothuria scabra ,Holothuria scabra Jaeger,,EN,0.6
GD,Holothuria martensi ,Holothuria martensi Semper,,EN,0.6
GD,Holothuria moebii ,Holothuria moebii Ludwig,,EN,0.6
GD,Holothuria sinica Liao,Holothuria sinica Liao,,EN,0.6
GD,Holothuria cinerascens ,Holothuria cinerascens,,EN,0.6
